SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5 Longview Ct,Waldwick,NJ,07463,775000,5,4.0,Waldwick,,26751,,8,,,Active,,,https://www.redfin.com/NJ/Waldwick/5-Longview-Ct-07463/home/35879263,NJMLS,22014484,N,Y,41.012762,-74.1457643
MLS Listing,,Single Family Residential,31 Oak St,Tenafly,NJ,07670,999000,5,2.5,Tenafly,,7500,,8,,,Active,,,https://www.redfin.com/NJ/Tenafly/31-Oak-St-07670/home/35873115,NJMLS,22014481,N,Y,40.9141841,-73.9652108
MLS Listing,,Single Family Residential,70 Lawrence Pkwy,Tenafly,NJ,07670,1880000,5,4.5,Tenafly,,13704,,8,,,Active,,,https://www.redfin.com/NJ/Tenafly/70-Lawrence-Pkwy-07670/home/104303033,NJMLS,22014479,N,Y,40.9184486,-73.960112
MLS Listing,,Townhouse,31 Truman Dr,Wood Ridge,NJ,07075,693500,4,3.5,Wood Ridge,,,,8,,,Active,,,https://www.redfin.com/NJ/Wood-Ridge/31-Truman-Dr-07075/home/102794684,NJMLS,22014477,N,Y,40.8589079,-74.0903082
MLS Listing,,Single Family Residential,74 Hillside Ave,Cresskill,NJ,07626,899999,6,3.0,Cresskill,,8999,,8,,,Active,,,https://www.redfin.com/NJ/Cresskill/74-Hillside-Ave-07626/home/35695879,NJMLS,22014469,N,Y,40.9391594,-73.9546954
MLS Listing,,Single Family Residential,13 Swan Rd,Mahwah,NJ,07430,1175000,4,3.5,Mahwah,,64469,,8,,,Active,,,https://www.redfin.com/NJ/Mahwah/13-Swan-Rd-07430/home/35786777,NJMLS,22014466,N,Y,41.0772532,-74.1583562
MLS Listing,,Single Family Residential,91 Bell Ave,Saddle Brook,NJ,07663,949000,5,3.5,Saddle Brook,,6499,,8,,,Active,,,https://www.redfin.com/NJ/Saddle-Brook/91-Bell-Ave-07663/home/35858635,NJMLS,22014463,N,Y,40.9098151,-74.0969025
MLS Listing,,Multi-Family (2-4 Unit),85 Bogart Ave,Garfield,NJ,07026,475000,4,2.0,Garfield,,2004,,8,,,Active,,,https://www.redfin.com/NJ/Garfield/85-Bogart-Ave-07026/home/35742784,NJMLS,22014459,N,Y,40.8651457,-74.1051273
MLS Listing,,Single Family Residential,529 Dorchester Dr,River Vale,NJ,07675,849000,5,3.0,River Vale,,17969,,8,,,Active,,,https://www.redfin.com/NJ/River-Vale/529-Dorchester-Dr-07675/home/35911350,NJMLS,22014458,N,Y,41.0293715,-74.0192939
MLS Listing,,Single Family Residential,287 Ackerman Ave,Glen Rock,NJ,07452,660000,5,3.0,Glen Rock,,6800,,8,,,Active,,,https://www.redfin.com/NJ/Glen-Rock/287-Ackerman-Ave-07452/home/35748328,NJMLS,22014453,N,Y,40.9710311,-74.1246612
